wl,n
1.40281,1.57792
1.40581,1.58493
1.40882,1.59194
1.41182,1.59894
1.41483,1.60594
1.41784,1.61293
1.42084,1.61992
1.42385,1.62690
1.42685,1.63388
1.42986,1.64084
1.43287,1.64781
1.43587,1.65477
1.43888,1.66172
1.44188,1.66866
1.44489,1.67560
1.44790,1.68253
1.45090,1.68946
1.45391,1.69638
1.45691,1.70329
1.45992,1.71020
1.46293,1.71710
1.46593,1.72399
1.46894,1.73088
1.47194,1.73776
1.47495,1.74463
1.47796,1.75150
1.48096,1.75836
1.48397,1.76521
1.48697,1.77205
1.48998,1.77889
1.49299,1.78572
1.49599,1.79255
1.49900,1.79937
1.50200,1.80618
1.50501,1.81298
1.50802,1.81977
1.51102,1.82656
1.51403,1.83335
1.51703,1.84012
1.52004,1.84689
1.52305,1.85365
1.52605,1.86041
1.52906,1.86716
1.53206,1.87390
1.53507,1.88064
1.53808,1.88737
1.54108,1.89410
1.54409,1.90082
1.54709,1.90754
1.55010,1.91425
1.55311,1.92095
1.55611,1.92765
1.55912,1.93434
1.56212,1.94103
1.56513,1.94772
1.56814,1.95440
1.57114,1.96108
1.57415,1.96775
1.57715,1.97441
1.58016,1.98108
1.58317,1.98774
1.58617,1.99439
1.58918,2.00104
1.59218,2.00769
1.59519,2.01433
1.59820,2.02097
1.60120,2.02761
1.60421,2.03424
1.60721,2.04087
1.61022,2.04750
1.61323,2.05412
1.61623,2.06075
1.61924,2.06736
1.62224,2.07398
1.62525,2.08059
1.62826,2.08720
1.63126,2.09381
1.63427,2.10042
1.63727,2.10702
1.64028,2.11362
1.64329,2.12022
1.64629,2.12682
1.64930,2.13342
1.65230,2.14001
1.65531,2.14660
1.65832,2.15320
1.66132,2.15979
1.66433,2.16637
1.66733,2.17296
1.67034,2.17955
1.67335,2.18613
1.67635,2.19272
1.67936,2.19930
1.68236,2.20588
1.68537,2.21247
1.68838,2.21905
1.69138,2.22563
1.69439,2.23221
1.69739,2.23879
1.70040,2.24537
1.70341,2.25195
1.70641,2.25853
1.70942,2.26511
1.71242,2.27169
1.71543,2.27827
1.71844,2.28485
1.72144,2.29143
1.72445,2.29802
1.72745,2.30460
1.73046,2.31118
1.73347,2.31777
1.73647,2.32435
1.73948,2.33094
1.74248,2.33752
1.74549,2.34411
1.74850,2.35070
1.75150,2.35729
1.75451,2.36388
1.75752,2.37047
1.76052,2.37707
1.76353,2.38366
1.76653,2.39026
1.76954,2.39686
1.77255,2.40346
1.77555,2.41006
1.77856,2.41667
1.78156,2.42327
1.78457,2.42988
1.78758,2.43649
1.79058,2.44311
1.79359,2.44972
1.79659,2.45634
1.79960,2.46296
1.80261,2.46958
1.80561,2.47621
1.80862,2.48284
1.81162,2.48947
1.81463,2.49610
1.81764,2.50274
1.82064,2.50938
1.82365,2.51602
1.82665,2.52267
1.82966,2.52932
1.83267,2.53597
1.83567,2.54263
1.83868,2.54929
1.84168,2.55595
1.84469,2.56262
1.84770,2.56929
1.85070,2.57596
1.85371,2.58264
1.85671,2.58932
1.85972,2.59601
1.86273,2.60270
1.86573,2.60939
1.86874,2.61609
1.87174,2.62279
1.87475,2.62950
1.87776,2.63621
1.88076,2.64293
1.88377,2.64965
1.88677,2.65637
1.88978,2.66310
1.89279,2.66984
1.89579,2.67658
1.89880,2.68332
1.90180,2.69007
1.90481,2.69682
